frame,timestamp_ns,raw_z,z_filt,w_px,conf
1755,1783400666464246514,2.278,2.278,84.9,0.866
1760,1783400666632406730,2.171,2.267,89.1,0.847
1765,1783400666806021834,2.226,2.267,86.9,0.854
1770,1783400666963003845,2.139,2.226,90.5,0.842
1775,1783400667131082706,2.103,2.171,92.0,0.847
1780,1783400667295357833,2.104,2.139,91.9,0.851
1785,1783400667463377212,2.125,2.125,91.1,0.844
1790,1783400667631443569,2.086,2.104,92.8,0.846
1795,1783400667795285163,2.159,2.104,89.6,0.807
1800,1783400667963520662,2.131,2.125,90.8,0.845
1805,1783400668131932746,2.108,2.125,91.8,0.851
1810,1783400668307112097,2.090,2.108,92.6,0.851
1815,1783400668463230470,1.983,2.108,97.6,0.836
1820,1783400668631946810,1.960,2.090,98.7,0.847
1825,1783400668795679438,1.946,1.983,99.4,0.845
1830,1783400668963418165,2.039,1.983,94.9,0.852
1835,1783400669131835949,1.938,1.960,99.8,0.820
1840,1783400669295748778,1.989,1.960,97.3,0.823
1845,1783400669463458890,2.098,1.989,92.2,0.800
1850,1783400669633074347,2.076,2.039,93.2,0.831
1855,1783400669795699173,2.116,2.076,91.5,0.836
1860,1783400669963593434,2.044,2.076,94.7,0.839
1865,1783400670131898214,2.062,2.076,93.8,0.838
1870,1783400670295930971,2.103,2.076,92.0,0.842
1875,1783400670463311969,1.921,2.062,100.8,0.839
1880,1783400670631343722,1.847,2.044,104.8,0.845
1885,1783400670795437524,1.913,1.921,101.2,0.846
1890,1783400670962856633,2.094,1.921,92.4,0.847
1895,1783400671131038660,2.097,1.921,92.3,0.843
1900,1783400671295894197,2.124,2.094,91.1,0.845
1905,1783400671464039615,2.144,2.097,90.2,0.842
1910,1783400671633282785,2.135,2.124,90.6,0.845
1915,1783400671795995407,2.129,2.129,90.9,0.851
1920,1783400671964000369,2.096,2.129,92.3,0.848
1925,1783400672131288972,2.077,2.129,93.2,0.839
1930,1783400672295904554,2.139,2.129,90.5,0.837
1935,1783400672464044653,1.985,2.096,97.5,0.833
1940,1783400672631039128,1.965,2.077,98.5,0.842
1945,1783400672795815375,1.993,1.993,97.1,0.836
1950,1783400672964088275,2.002,1.993,96.6,0.837
1955,1783400673132308385,2.010,1.993,96.2,0.841
1960,1783400673296065458,1.950,1.993,99.2,0.838
1965,1783400673464121687,2.052,2.002,94.3,0.842
1970,1783400673642536126,1.980,2.002,97.7,0.838
1975,1783400673806586315,1.941,1.980,99.7,0.839
1980,1783400673963281261,1.937,1.950,99.9,0.828
1985,1783400674131261085,2.025,1.980,95.5,0.835
1990,1783400674295156221,1.976,1.976,97.9,0.834
1995,1783400674463802759,1.875,1.941,103.2,0.827
2000,1783400674632028290,1.999,1.976,96.8,0.810
2005,1783400674796197195,2.141,1.999,90.4,0.815
2010,1783400674963736122,1.998,1.998,96.8,0.801
2015,1783400675132114411,2.041,1.999,94.8,0.806
2020,1783400675295665504,1.987,1.999,97.4,0.822
2025,1783400675475035905,2.012,2.012,96.2,0.815
2030,1783400675631676730,1.978,1.998,97.8,0.801
2035,1783400675805482496,2.102,2.012,92.1,0.834
2040,1783400675963654936,2.078,2.012,93.1,0.844
2045,1783400676137859989,2.008,2.012,96.4,0.843
2050,1783400676306738338,2.032,2.032,95.2,0.836
2055,1783400676464215679,2.096,2.078,92.3,0.833
2060,1783400676639026120,2.043,2.043,94.7,0.836
2065,1783400676806886587,2.051,2.043,94.3,0.836
2070,1783400676973649543,2.002,2.043,96.7,0.850
2075,1783400677127419281,1.949,2.043,99.3,0.828
2080,1783400677295699344,1.936,2.002,99.9,0.832
2085,1783400677463535364,1.964,1.964,98.5,0.819
2090,1783400677627936339,1.809,1.949,107.0,0.835
2095,1783400677795996365,1.833,1.936,105.6,0.839
2100,1783400677963970087,1.837,1.837,105.3,0.852
2105,1783400678127898776,1.854,1.837,104.4,0.852
2110,1783400678295731100,1.908,1.837,101.4,0.852
2115,1783400678464155377,1.834,1.837,105.5,0.848
2120,1783400678627993725,1.873,1.854,103.3,0.854
2125,1783400678795721942,1.792,1.854,108.0,0.859
2130,1783400678963776868,1.864,1.864,103.8,0.853
2135,1783400679128349238,1.849,1.849,104.7,0.845
2140,1783400679295890149,1.821,1.849,106.2,0.850
2145,1783400679462796737,1.937,1.849,99.9,0.848
2150,1783400679628354667,1.901,1.864,101.8,0.844
2155,1783400679807313798,1.879,1.879,103.0,0.847
2160,1783400679974558969,1.890,1.890,102.4,0.846
2165,1783400680128282639,1.847,1.890,104.7,0.849
2170,1783400680296144088,1.856,1.879,104.2,0.848
2175,1783400680464335584,1.987,1.879,97.4,0.862
2180,1783400680628340707,1.928,1.890,100.3,0.860
2185,1783400680796349135,1.997,1.928,96.9,0.865
2190,1783400680964403580,1.951,1.951,99.2,0.863
2195,1783400681128005139,2.055,1.987,94.1,0.859
2200,1783400681296392215,2.032,1.997,95.2,0.852
2205,1783400681464210122,1.929,1.997,100.3,0.853
2210,1783400681628308964,2.121,2.032,91.2,0.846
2215,1783400681796385792,2.041,2.041,94.8,0.851
2220,1783400681974235258,2.168,2.041,89.3,0.851
2225,1783400682138654257,2.191,2.121,88.3,0.840
2230,1783400682296127059,1.939,2.121,99.8,0.827
2235,1783400682464104097,2.052,2.052,94.3,0.835
2240,1783400682628315362,2.108,2.108,91.8,0.832
2245,1783400682806946671,2.026,2.052,95.5,0.841
2250,1783400682963408606,2.169,2.052,89.2,0.837
2255,1783400683127303000,2.139,2.108,90.5,0.834
2260,1783400683296342323,2.085,2.108,92.8,0.829
2265,1783400683475202878,2.130,2.130,90.8,0.831
2270,1783400683627779683,2.106,2.130,91.9,0.827
2275,1783400683796313217,2.117,2.117,91.4,0.824
2280,1783400683964465618,2.119,2.117,91.3,0.805
2285,1783400684128318824,2.195,2.119,88.1,0.812
2290,1783400684304957925,2.054,2.117,94.2,0.815
2295,1783400684473610755,2.125,2.119,91.0,0.811
2300,1783400684637581003,2.197,2.125,88.1,0.824
2305,1783400684806032813,2.220,2.195,87.2,0.831
2310,1783400684973474606,2.220,2.197,87.2,0.832
2315,1783400685138417769,2.276,2.220,85.0,0.820
2320,1783400685306829602,2.237,2.220,86.5,0.820
2325,1783400685474560684,2.328,2.237,83.1,0.826
2330,1783400685637234062,2.376,2.276,81.4,0.824
2335,1783400685805954922,2.398,2.328,80.7,0.805
2340,1783400685974373017,2.238,2.328,86.4,0.799
2345,1783400686138595513,2.150,2.328,90.0,0.790
2350,1783400686305797552,2.297,2.297,84.2,0.822
2355,1783400686474767184,2.404,2.297,80.5,0.824
2360,1783400686627781008,2.417,2.297,80.0,0.819
2365,1783400686796915842,2.439,2.404,79.3,0.820
2370,1783400686964429903,2.487,2.417,77.8,0.815
2375,1783400687138175114,2.457,2.439,78.8,0.821
2380,1783400687295553465,2.388,2.439,81.0,0.831
2385,1783400687474239910,2.558,2.457,75.6,0.823
2390,1783400687627930888,2.460,2.460,78.7,0.844
2395,1783400687796031952,2.371,2.457,81.6,0.855
2400,1783400687965328153,2.423,2.423,79.9,0.829
2405,1783400688128375670,2.386,2.423,81.1,0.836
2410,1783400688295962378,2.452,2.423,78.9,0.846
2415,1783400688463962350,2.459,2.423,78.7,0.840
